acc_no,study,study_uni
acc_024,Bell et al. 2006,Bell et al. 2006
acc_028,Bombau and Szteren 2017,Bombau and Szteren 2017
acc_030,Bordino et al. 2002,Bordino et al. 2002
acc_044,Carretta and Barlow 2011,Carretta and Barlow 2011
acc_053,Cosgrove et al. 2015,Cosgrove et al. 2015
acc_053,Cosgrove et al. 2015,Cosgrove et al. 2015
acc_053,Cosgrove et al. 2015,Cosgrove et al. 2015
acc_062,De et al. 2010,De La Torriente et al. 2010
acc_063,De et al. 2014,De La Torriente et al. 2014
acc_072,Fjalling et al. 2006,Fj\U00E4lling et al. 2006
acc_099,Hamer and Goldsworthy 2006,Hamer and Goldsworthy 2006
acc_139,Konigson et al. 2009,K\U00F6nigson et al. 2009
acc_145,Lehtonen and Suuronen 2004,Lehtonen and Suuronen 2004
acc_145,Lehtonen and Suuronen 2004,Lehtonen and Suuronen 2004
acc_158,Lunneryd et al. 2003,Lunneryd et al. 2003
acc_161,Machado et al. 2016,Machado et al. 2016
acc_166,Maravilla-Chavez et al. 2006,Maravilla-Ch\U00E1vez et al. 2006
acc_195,Oliveira et al. 2020,Oliveira et al. 2020
acc_210,Rafferty et al. 2012,Rafferty et al. 2012
acc_222,Rios et al. 2017,R\U00EDos et al. 2017
acc_224,Roche et al. 2007,Roche et al. 2007
acc_224,Roche et al. 2007,Roche et al. 2007
acc_233,Seco et al. 2012,Pon et al. 2012
acc_233,Seco et al. 2012,Pon et al. 2012
acc_234,Sepulveda et al. 2018,Sep\U00FAlveda et al. 2018
acc_236,Sepulveda et al. 2007,Sep\U00FAlveda et al. 2007
acc_236,Sepulveda et al. 2007,Sep\U00FAlveda et al. 2007
acc_247,Suuronen et al. 2006,Suuronen et al. 2006
acc_250,Szteren and Paez 2002,Szteren and P\U00E1ez 2002
acc_261,Vilata et al. 2010,Vilata et al. 2010
acc_264,Weise and Harvey 2005,Weise and Harvey 2005
acc_266,Wickens 1994,Wickens 1994
acc_267,Wickens 1996,Wickens 1996
acc_267,Wickens 1996,Wickens 1996
acc_267,Wickens 1996,Wickens 1996
acc_270,Wickens and Sim 1994,Wickens and Sim 1994
acc_270,Wickens and Sim 1994,Wickens and Sim 1994
acc_025,Berninsone et al. 2020,Berninsone et al. 2020
acc_025,Berninsone et al. 2020,Berninsone et al. 2020
acc_271,Wienecke and Robertson 2002,Wienecke and Robertson 2002
acc_271,Wienecke and Robertson 2002,Wienecke and Robertson 2002
acc_289,Meyer et al. 1992,Me\U00FFer et al. 1992
acc_289,Meyer et al. 1992,Me\U00FFer et al. 1992
acc_376,Seco et al. 2013,Pon et al. 2013
acc_376,Seco et al. 2013,Pon et al. 2013
acc_377,Szteren 2006,Szteren 2006
acc_377,Szteren 2006,Szteren 2006
acc_377,Szteren 2006,Szteren 2006
acc_377,Szteren 2006,Szteren 2006
acc_377,Szteren 2006,Szteren 2006
acc_377,Szteren 2006,Szteren 2006
acc_378,Szteren and Lezama 2006,Szteren and Lezama 2006
acc_378,Szteren and Lezama 2006,Szteren and Lezama 2006
acc_243,Soffker et al. 2015,S\U00F6ffker et al. 2015